titulo,label
"Semana em SC começa com sol entre nuvens e temperaturas altas",neutro
"Boi escapa, percorre  km e provoca estragos em loja no interior de MS",neutro
"Hidroavião faz pouso forçado na Baía da Ribeira, em Angra dos Reis, RJ",neutro
"Ministra 'dá raquetada no Aedes aegypti' durante visita a escola em MS",neutro
"Florianópolis tem alteração em seis linhas de ônibus a partir de segunda",neutro
"O que você precisa saber no PR para começar este  de dezembro de ",neutro
"Justiça suspende reintegração de posse de área próximo a lixão em MS",neutro
"Defesa diz que Bumlai é 'isca errada' do MPF para pegar ex-presidente Lula",neutro
"Sucuri aparece em escola e assusta funcionários e alunos; veja vídeo",neutro
"Prazo para matrículas nas escolas da rede estadual de SC termina sexta )",neutro
"Mercado Municipal de Curitiba tem horários alterados por conta de obras",neutro
"Tempo permanece nublado e quente no sábado em MS, afirma Inmet",neutro
"O que você precisa saber no PR para começar este  de janeiro de ",neutro
"Primeira semana do outono começa com nebulosidade e chuva em SC",neutro
"Florianópolis tem alterações no trânsito neste domingo, ",neutro
"Duque e Vaccari ficam em silêncio em interrogatório do juiz Sérgio Moro",neutro
"Com queda da safra, produtores de maçã esperam aumento de preço",neutro
"Deputados aprovam prestação de contas de três anos do governo Richa",neutro
"Sexta terá predomínio de sol e máxima de °C em MS, aponta Inmet",neutro
"Abril começa com sol e calor em Santa Catarina",neutro
"Parte da energia é restabelecida em Santa Isabel, distrito de Valença, RJ",neutro
"Alesc reabre, e Colombo diz que dívida com União pode ir à Justiça",neutro
"Shows na Barra demandam esquema especial de trânsito na próxima quinta",neutro
"MP-RJ pede suspensão do edital de licitação para linhas intermunicipais",neutro
"Cerimônia no Theatro Municipal tem posse de novo presidente da OAB-RJ",neutro
"Senai oferece  vagas para cursos gratuitos no Sul do Rio",positivo
"Florianópolis terá central para monitorar o trânsito, diz prefeitura",positivo
"Filmes de ação, suspense e comédia estreiam nos cinemas de Cuiabá",positivo
"Menina que ficou internada ao nascer recebe alta médica após  anos e meio",positivo
"Procon pede explicações da Unimed sobre fechamento de unidades",positivo
"De pizzaiolo a professor, Sul do RJ oferece vagas de estágios e empregos",positivo
"Força-tarefa põe Choque e Bope nas ruas nesta sexta ) em Joinville",positivo
"Costureira ensina a fazer fantasia para crianças curtirem o Carnaval",positivo
"Blumenau tem atividades ao longo da semana para celebrar o Dia da Mulher",positivo
"Menina de  anos já doou  cadeiras de rodas juntando lacres de latinhas",positivo
"Festival de Teatro de Piçarras recebe inscrições até  de março",positivo
"PMA apreende carreta com madeira ilegal e multa empresa em R$  mil",positivo
"Decreto autoriza entrada em imóveis vazios para combate ao Aedes aegypti",positivo
"Medalha para mulheres é entregue a trans pela ª vez em Florianópolis",positivo
"Polícia prende homens que infringiram medidas da Lei Maria da Penha",positivo
"Juiz bloqueia bens de prefeito de MT por sobrepreço em aluguel de veículo",positivo
"Detran-MS vai premiar melhores projetos em educação para o trânsito",positivo
"Mais um preso na ª fase da Lava Jato chega à carceragem, em Curitiba ",positivo
"SC tem melhor resultado do país em crescimento de empregos, diz Caged",positivo
"Suspeito de chefiar tráfico no bairro Monsuaba é preso em Angra, RJ",positivo
"Produtor de MS é multado por armazenamento ilegal de agrotóxicos ",positivo
"Grande Florianópolis terá consultoria gratuita sobre declaração do IR ",positivo
"Campanha contra Aedes aegypti em bairro de MS na próxima semana",positivo
"Do rock ao roots, banda  faz show em Resende, RJ",positivo
"Suspeito de estuprar  mulheres é preso após vender celular de vítima",positivo
"Operação prende  pessoas em área de garimpo ilegal em Mato Grosso",positivo
"Mulher é presa com objetos roubados em distrito de Resende, RJ",positivo
"Em SC, mulheres podem fazer aulas gratuitas de defesa pessoal em março ",positivo
"Carreata percorre ruas de Curitiba em apoio a Sérgio Moro e à Lava Jato",positivo
"Milhares de manifestantes protestam contra o governo federal em Curitiba",positivo
"Prefeitura de Campo Grande concede reajuste linear de % a servidores",positivo
"Naldo Benny é atração em festa pré-carnaval em Paraty, RJ",positivo
"Suspeito de matar jovem em festa de carnaval é preso na capital de MS",positivo
"Juiz manda policiais permanecerem em região de garimpo ilegal em MT",positivo
"Após passar noite ilhado, grupo consegue deixar trilha no Sul de SC",positivo
"Suspeito de matar adolescente em Joaçaba vai a júri nesta sexta )",positivo
"Governo promete auxílios a SC para amenizar custo da produção suína",positivo
"Oito pessoas são presas suspeitas de explorar garimpo ilegal em MT",positivo
"Produtores de orgânicos de SC criam sistema participativo de garantia",positivo
"MON tem entrada e atividades gratuitas nesta quarta-feira )",positivo
"Dois suspeitos são detidos com R$  de jogo do bicho em Três Rios",positivo
"Apae faz feira beneficente em Chapecó com cestas e cascas decoradas",positivo
"Procon atende consumidor em praça na capital de MS nesta terça-feira",positivo
"Prefeitura de Porto Esperidião (MT) abre concurso público com  vagas",positivo
"Dois homens são condenados a  anos por matar taxista em Chapecó",positivo
"Dois são presos com  sacolés de cocaína em Valença, RJ",positivo
"Suspeitos de participarem de assalto a hotel são presos em Florianópolis",positivo
"Homem é preso em caixa eletrônico ao tentar furtar dinheiro; veja vídeo",positivo
"Mulher é autuada por maus-tratos após agressão a filho de  anos",positivo
"Estudantes de universidade se unem para doar sangue em Campo Grande",positivo
"Seis hemocentros de SC abrem neste sábado ) para doação de sangue ",positivo
"Acusado de matar ex-mulher e sogro em MS é condenado a  anos",positivo
"Oficina de música abre inscrições para curso noturno em Pinheiral, RJ",positivo
"Polícia indicia  pessoas por desvio de R$  milhão na AACC em MT",positivo
"Voluntários entregam  ovos de Páscoa para crianças carentes em MS",positivo
"Campanha contra corrupção no país busca assinaturas em MS; veja como",positivo
"SC tem inscrições abertas para  cargos em unidades prisionais",positivo
"Prefeitura de Itiquira (MT) abre  vagas para agentes de saúde",positivo
"Polícia faz operação para combater racismo contra atriz Taís Araújo",positivo
"Trio é preso com  cápsulas de cocaína em Angra dos Reis, RJ",positivo
"Polícia prende  suspeitos de matar comerciante em assalto em Cuiabá",positivo
"MC Biel agita noite de sábado em Resende, RJ",positivo
"Temporada em SC encerra com mais de % dos quartos de hotel lotados",positivo
"Homem é detido por envolvimento com jogo do bicho em Angra, RJ",positivo
"UFMS abre inscrições de seleção para  vagas de professor substituto",positivo
"Professoras aprendem a fazer ovos para presentear alunos na Páscoa",positivo
"Banda Mistureba agita noite em Volta Redonda, no Sul do Rio",positivo
"Polícia ambiental apreende carga ilegal de  mil iscas vivas em MS",positivo
"Prefeitura de Jaraguari, MS, oferece  vagas em contratação temporária",positivo
"Udesc oferece aulas gratuitas de dança, alongamento e ginástica",positivo
"Suspeito é preso com  cápsulas de cocaína e armas em Barra Mansa",positivo
"'Fico feliz que a justiça tenha sido feita', diz Taís Araújo, sobre prisões",positivo
"Polícia Federal faz operação no RJ contra fraudadores da Previdência",positivo
"Polícia prende grupo especializado em aplicar golpes do RJ e SP",positivo
"Procon-RJ autua  padarias por irregularidades como falta de higiene",positivo
"Operação prende suspeitos de racismo na internet contra Taís Araújo",positivo
"Suspeito de participar de assassinato de PM do Rio é preso na Providência",positivo
"Justiça do Rio condena mulher de Nem da Rocinha a  anos de prisão",positivo
"RJ abre  vagas de emprego, mostra Setrab",positivo
"Mais de  jovens fazem fila no Centro do Rio à procura de emprego",positivo
"Beltrame anuncia medidas para reforçar o policiamento nas ruas",positivo
"Peu Del Rey faz apresentação gratuita em Copacabana para o Jovens Tardes",positivo
"Sindicato dos médicos denunciará prefeito do Rio por assédio moral",positivo
"Magistrados realizam ato de apoio a Sérgio Moro no Rio",positivo
"Operação em favelas na Zona Norte do Rio recupera caminhão e cargas",positivo
